_ID_	_MAIN_CATEGORY_	POST_TITLE	_MODEL_	_MANUFACTURER_	_PRICE_	_HTML_TITLE_	_HTML_H1_	_DESCRIPTION_	_IMAGE_	_SEO_KEYWORD_	_IMAGES_			
410	Цветы поштучно|Украинская роза	Роза Аква			43	Украинская роза - Роза Аква		"<p><strong>Состав<br /></strong>100% вискоза</p>
<p><strong>Размерная сетка модели</strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">70</td>
<td align=""center"">76</td>
<td align=""center"">82</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<br /></strong>Длина изделия: 65 см, длина рукава: 18 см. Для всех размеров.<br />Рост модели на фото: 174 см.&nbsp;&nbsp;</p><br>Цвет-принт<br>Размер-S, M, L"	data/1012.jpg		data/1013.jpg			
411	Цветы поштучно|Украинская роза	Роза Вау			43	Украинская роза - Роза Вау		"<p><strong>Состав<br /></strong>100% вискоза</p>
<p><strong>Размерная сетка модели</strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">70</td>
<td align=""center"">76</td>
<td align=""center"">82</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<br /></strong>Длина изделия: 65 см, длина рукава: 18 см. Для всех размеров.<br />Рост модели на фото: 174 см.&nbsp;&nbsp;</p><br>Цвет-принт<br>Размер-S"	data/1014.jpg		data/1015.png			
412	Цветы поштучно|Украинская роза	Роза Талея			43	Украинская роза - Роза Талея		"<p><strong>Состав:&nbsp;<br /></strong>100% вискоза</p>
<p><strong>Размерная сетка модели:&nbsp;</strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">70</td>
<td align=""center"">76</td>
<td align=""center"">82</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры:&nbsp;<br /></strong>Длина изделия: 65 см, длина рукава: 18 см. Для всех размеров.<br /><span>Рост модели на фото: 174 см.</span>&nbsp;</p><br>Цвет-принт<br>Размер-S, M, XL, XXL"	data/1016.jpeg		data/1017.png			
413	Цветы поштучно|Украинская роза	Роза Эль Торо			45	Украинская роза - Роза Эль Торо		"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Дайвинг.&nbsp;<br />Рисунок полностью покрывает свитшот: спереди, сзади, на рукавах.&nbsp;</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p><br>Цвет-принт-белая отделка<br>Размер-S, M, L"	data/1018.jpg		data/1019.jpeg			
414	Цветы поштучно|Украинская роза	Роза Илиос			43	Украинская роза - Роза Илиос		"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Дайвинг. <br />Рисунок полностью покрывает свитшот: спереди, сзади, на рукавах.&nbsp;</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">61</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">57</td>
<td align=""center"">57</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p><br>Цвет-принт-т.синяя отделка<br>Размер-S, M, L"	data/1020.jpg		data/1021.jpg			
415	Цветы поштучно|Украинская роза	Роза Пич Аваланч			43	Украинская роза - Роза Пич Аваланч		"<p><strong>Состав:&nbsp;</strong>дайвинг</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;<br /></strong></strong>Рост модели на фото - 168 см.&nbsp;</p><br>Цвет-принт-черная отделка<br>Размер-S, M, L"	data/1022.jpg		data/1023.png			
416	Цветы поштучно|Украинская роза	Разноцветные кустовые розы			53	Украинская роза - Разноцветные кустовые розы		"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Дайвинг.<br />Принт только спереди. Спинка и рукава черные.&nbsp;</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p><br>Цвет-принт-черная отделка<br>Размер-M"	data/1024.png		data/1025.jpg			
417	Цветы поштучно|Экзотические цветы	Разноцветные альстромерии			44	Экзотические цветы - Разноцветные альстромерии		"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Внутренний слой &ndash; хлопок, внешний &ndash; с добавлением полиэстра. Свитшоты утепленные с начесом на внутреннем слое.</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">61</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">57</td>
<td align=""center"">57</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table><br>Цвет-принт-черная отделка<br>Размер-S, M, L"	data/1026.jpg					
418	Цветы поштучно|Экзотические цветы	Разноцветная кустовая хризантема			52	Экзотические цветы - Разноцветная кустовая хризантема		"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Дайвинг. Рисунок спереди и на рукавах, спинка белая.</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p><br>Цвет-принт-белая отделка<br>Размер-M"	data/1027.jpg					
419	Цветы поштучно|Экзотические цветы	Разноцветные тюльпаны			36	Экзотические цветы - Разноцветные тюльпаны		"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Дайвинг.<br />Принт только спереди. Спинка черная.&nbsp;</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p><br>Цвет-принт-черная отделка<br>Размер-S, M, L"	data/1028.jpg					
420	Цветы поштучно|Экзотические цветы	Разноцветные герберы			35	Экзотические цветы - Разноцветные герберы		"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Стеганный дайвинг. Принт только спереди. Спинка белая.</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p><br>Цвет-принт<br>Размер-S, M, L"	data/1029.jpg					
421	Цветы поштучно|Экзотические цветы	Синие ирисы			35	Экзотические цветы - Синие ирисы		"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Дайвинг. Рисунок спереди и на рукавах, спинка черная.</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p>
<p>Рост модели на фото - 174 см.</p><br>Цвет-принт-черная отделка<br>Размер-M"	data/1030.jpg					
422	Цветы поштучно|Экзотические цветы	Разноцветная эустома			72	Экзотические цветы - Разноцветная эустома		"<p><strong>Состав<strong>:&nbsp;</strong><br /></strong>Дайвинг. Рисунок полностью покрывает свитшот: спереди, сзади, на рукавах.&nbsp;</p>
<p><strong>Размерная сетка модели<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">88</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">68</td>
<td align=""center"">72</td>
<td align=""center"">76</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры<strong>:&nbsp;</strong></strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Длина изделия (см)</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
<td align=""center"">60</td>
</tr>
<tr>
<td align=""left"">Длина рукава (см)</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
<td align=""center"">58</td>
</tr>
</tbody>
</table>
<p><img title=""как мерять"" src=""../img/12157/796.png"" alt=""как мерять"" width=""200"" height=""127"" /></p><br>Цвет-принт-черная отделка<br>Размер-S, M, L"	data/1031.jpg					
423	Цветы поштучно|Экзотические цветы	Белые тюльпаны			36	Экзотические цветы - Белые тюльпаны		"<p><strong>Состав<strong>:&nbsp;</strong></strong><br />искусственная кожа</p>
<p>Длина изделия: 100 см.<br />Ширина изделия (ремня): 14 мм.</p><br>Цвет-белый<br>"	data/1032.jpg					
